placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2024-10-21 00:00:00,2024-10-22 00:00:00,207
tojinbo-shotaro,Person,2024-10-22 00:00:00,2024-10-23 00:00:00,2459
tojinbo-shotaro,Person,2024-10-23 00:00:00,2024-10-24 00:00:00,9382
tojinbo-shotaro,Person,2024-10-24 00:00:00,2024-10-25 00:00:00,9117
tojinbo-shotaro,Person,2024-10-25 00:00:00,2024-10-26 00:00:00,8524
tojinbo-shotaro,Person,2024-10-26 00:00:00,2024-10-27 00:00:00,1988
tojinbo-shotaro,Person,2024-10-27 00:00:00,2024-10-28 00:00:00,1043
tojinbo-shotaro,Person,2024-10-28 00:00:00,2024-10-29 00:00:00,1858
tojinbo-shotaro,Person,2024-10-29 00:00:00,2024-10-30 00:00:00,9961
tojinbo-shotaro,Person,2024-10-30 00:00:00,2024-10-31 00:00:00,8771
tojinbo-shotaro,Person,2024-10-31 00:00:00,2024-11-01 00:00:00,9659
tojinbo-shotaro,Person,2024-11-01 00:00:00,2024-11-02 00:00:00,10602
tojinbo-shotaro,Person,2024-11-02 00:00:00,2024-11-03 00:00:00,8767
tojinbo-shotaro,Person,2024-11-03 00:00:00,2024-11-04 00:00:00,10585
tojinbo-shotaro,Person,2024-11-04 00:00:00,2024-11-05 00:00:00,15570
tojinbo-shotaro,Person,2024-11-05 00:00:00,2024-11-06 00:00:00,11402
tojinbo-shotaro,Person,2024-11-06 00:00:00,2024-11-07 00:00:00,10245
tojinbo-shotaro,Person,2024-11-07 00:00:00,2024-11-08 00:00:00,10715
tojinbo-shotaro,Person,2024-11-08 00:00:00,2024-11-09 00:00:00,13291
tojinbo-shotaro,Person,2024-11-09 00:00:00,2024-11-10 00:00:00,14747
tojinbo-shotaro,Person,2024-11-10 00:00:00,2024-11-11 00:00:00,13037
tojinbo-shotaro,Person,2024-11-11 00:00:00,2024-11-12 00:00:00,14966
tojinbo-shotaro,Person,2024-11-12 00:00:00,2024-11-13 00:00:00,10824
tojinbo-shotaro,Person,2024-11-13 00:00:00,2024-11-14 00:00:00,14726
tojinbo-shotaro,Person,2024-11-14 00:00:00,2024-11-15 00:00:00,13917
tojinbo-shotaro,Person,2024-11-15 00:00:00,2024-11-16 00:00:00,13752
tojinbo-shotaro,Person,2024-11-16 00:00:00,2024-11-17 00:00:00,10948
tojinbo-shotaro,Person,2024-11-17 00:00:00,2024-11-18 00:00:00,16125
tojinbo-shotaro,Person,2024-11-18 00:00:00,2024-11-19 00:00:00,11412
tojinbo-shotaro,Person,2024-11-19 00:00:00,2024-11-20 00:00:00,13087
tojinbo-shotaro,Person,2024-11-20 00:00:00,2024-11-21 00:00:00,11842
tojinbo-shotaro,Person,2024-11-21 00:00:00,2024-11-22 00:00:00,11998
tojinbo-shotaro,Person,2024-11-22 00:00:00,2024-11-23 00:00:00,12152
tojinbo-shotaro,Person,2024-11-23 00:00:00,2024-11-24 00:00:00,18843
tojinbo-shotaro,Person,2024-11-24 00:00:00,2024-11-25 00:00:00,18499
tojinbo-shotaro,Person,2024-11-25 00:00:00,2024-11-26 00:00:00,14875
tojinbo-shotaro,Person,2024-11-26 00:00:00,2024-11-27 00:00:00,9982
tojinbo-shotaro,Person,2024-11-27 00:00:00,2024-11-28 00:00:00,10241
tojinbo-shotaro,Person,2024-11-28 00:00:00,2024-11-29 00:00:00,9611
tojinbo-shotaro,Person,2024-11-29 00:00:00,2024-11-30 00:00:00,8260
tojinbo-shotaro,Person,2024-11-30 00:00:00,2024-12-01 00:00:00,16255
tojinbo-shotaro,Person,2024-12-01 00:00:00,2024-12-02 00:00:00,14976
tojinbo-shotaro,Person,2024-12-02 00:00:00,2024-12-03 00:00:00,11159
tojinbo-shotaro,Person,2024-12-03 00:00:00,2024-12-04 00:00:00,6950
tojinbo-shotaro,Person,2024-12-04 00:00:00,2024-12-05 00:00:00,8397
tojinbo-shotaro,Person,2024-12-05 00:00:00,2024-12-06 00:00:00,8629
tojinbo-shotaro,Person,2024-12-06 00:00:00,2024-12-07 00:00:00,9854
tojinbo-shotaro,Person,2024-12-07 00:00:00,2024-12-08 00:00:00,12673
tojinbo-shotaro,Person,2024-12-08 00:00:00,2024-12-09 00:00:00,11089
tojinbo-shotaro,Person,2024-12-09 00:00:00,2024-12-10 00:00:00,8390
tojinbo-shotaro,Person,2024-12-10 00:00:00,2024-12-11 00:00:00,6667
tojinbo-shotaro,Person,2024-12-11 00:00:00,2024-12-12 00:00:00,4149
tojinbo-shotaro,Person,2024-12-12 00:00:00,2024-12-13 00:00:00,6702
tojinbo-shotaro,Person,2024-12-13 00:00:00,2024-12-14 00:00:00,5435
tojinbo-shotaro,Person,2024-12-14 00:00:00,2024-12-15 00:00:00,12901
tojinbo-shotaro,Person,2024-12-15 00:00:00,2024-12-16 00:00:00,10992
tojinbo-shotaro,Person,2024-12-16 00:00:00,2024-12-17 00:00:00,5907
tojinbo-shotaro,Person,2024-12-17 00:00:00,2024-12-18 00:00:00,4156
tojinbo-shotaro,Person,2024-12-18 00:00:00,2024-12-19 00:00:00,3400
tojinbo-shotaro,Person,2024-12-19 00:00:00,2024-12-20 00:00:00,5954
tojinbo-shotaro,Person,2024-12-20 00:00:00,2024-12-21 00:00:00,5429
tojinbo-shotaro,Person,2024-12-21 00:00:00,2024-12-22 00:00:00,7411
tojinbo-shotaro,Person,2024-12-22 00:00:00,2024-12-23 00:00:00,6983
tojinbo-shotaro,Person,2024-12-23 00:00:00,2024-12-24 00:00:00,3363
tojinbo-shotaro,Person,2024-12-24 00:00:00,2024-12-25 00:00:00,2835
tojinbo-shotaro,Person,2024-12-25 00:00:00,2024-12-26 00:00:00,5189
tojinbo-shotaro,Person,2024-12-26 00:00:00,2024-12-27 00:00:00,3774
tojinbo-shotaro,Person,2024-12-27 00:00:00,2024-12-28 00:00:00,5116
tojinbo-shotaro,Person,2024-12-28 00:00:00,2024-12-29 00:00:00,6610
tojinbo-shotaro,Person,2024-12-29 00:00:00,2024-12-30 00:00:00,9074
tojinbo-shotaro,Person,2024-12-30 00:00:00,2024-12-31 00:00:00,0
tojinbo-shotaro,Person,2024-12-31 00:00:00,2025-01-01 00:00:00,9548
tojinbo-shotaro,Person,2025-01-01 00:00:00,2025-01-02 00:00:00,11711
tojinbo-shotaro,Person,2025-01-02 00:00:00,2025-01-03 00:00:00,9684
tojinbo-shotaro,Person,2025-01-03 00:00:00,2025-01-04 00:00:00,8443
tojinbo-shotaro,Person,2025-01-04 00:00:00,2025-01-05 00:00:00,10351
tojinbo-shotaro,Person,2025-01-05 00:00:00,2025-01-06 00:00:00,6061
tojinbo-shotaro,Person,2025-01-06 00:00:00,2025-01-07 00:00:00,2838
tojinbo-shotaro,Person,2025-01-07 00:00:00,2025-01-08 00:00:00,2111
tojinbo-shotaro,Person,2025-01-08 00:00:00,2025-01-09 00:00:00,1372
tojinbo-shotaro,Person,2025-01-09 00:00:00,2025-01-10 00:00:00,1825
tojinbo-shotaro,Person,2025-01-10 00:00:00,2025-01-11 00:00:00,2249
tojinbo-shotaro,Person,2025-01-11 00:00:00,2025-01-12 00:00:00,4839
tojinbo-shotaro,Person,2025-01-12 00:00:00,2025-01-13 00:00:00,8366
tojinbo-shotaro,Person,2025-01-13 00:00:00,2025-01-14 00:00:00,5981
tojinbo-shotaro,Person,2025-01-14 00:00:00,2025-01-15 00:00:00,2685
tojinbo-shotaro,Person,2025-01-15 00:00:00,2025-01-16 00:00:00,2266
tojinbo-shotaro,Person,2025-01-16 00:00:00,2025-01-17 00:00:00,2973
tojinbo-shotaro,Person,2025-01-17 00:00:00,2025-01-18 00:00:00,3937
tojinbo-shotaro,Person,2025-01-18 00:00:00,2025-01-19 00:00:00,7613
tojinbo-shotaro,Person,2025-01-19 00:00:00,2025-01-20 00:00:00,8561
tojinbo-shotaro,Person,2025-01-20 00:00:00,2025-01-21 00:00:00,3613
tojinbo-shotaro,Person,2025-01-21 00:00:00,2025-01-22 00:00:00,3932
tojinbo-shotaro,Person,2025-01-22 00:00:00,2025-01-23 00:00:00,0
tojinbo-shotaro,Person,2025-01-23 00:00:00,2025-01-24 00:00:00,3723
tojinbo-shotaro,Person,2025-01-24 00:00:00,2025-01-25 00:00:00,5162
tojinbo-shotaro,Person,2025-01-25 00:00:00,2025-01-26 00:00:00,6275
